,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,1484,90,2663,0.7632704685985029
1,Alaska,61.27834,-150.32988,226,16,509,0.6209180010657176
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,2664,158,5108,0.8318896439311985
4,Arkansas,34.997967,-92.32213,700,92,1777,0.7292039076089334
5,California,37.016674,-120.15913,18293,1763,30873,1.0
6,Colorado,39.152225,-105.41113,2914,218,5485,0.8390115509251729
7,Connecticut,41.5664,-72.77289,2485,151,4289,0.8291639565626231
8,Delaware,39.267464,-75.50684,510,27,916,0.6778280193740263
9,District of Columbia,38.895,-77.03667,1535,208,2415,0.7813882184393854
10,Federated s of Micronesia,,,2,2,4,0.2147273876930037
11,Florida,28.63532,-82.39836,7632,599,14441,0.9287212351638787
12,Georgia,33.18301,-83.751396,4344,328,7747,0.8690040712844281
13,Guam,13.442065,144.7609,2,0,8,0.2860099936786126
14,Hawaii,20.773073,-156.91919,357,12,691,0.6543896530133912
15,Idaho,44.72104,-114.83413,349,27,963,0.6826042968728151
16,Illinois,40.22442,-89.00813,7898,1213,14825,0.9308657160698864
17,Indiana,39.853703,-86.26825,2469,247,4627,0.813805326582677
18,Iowa,42.001587,-93.15462,1178,123,3352,0.8023003829272756
19,Kansas,38.453106,-97.173775,1104,103,2064,0.7415036040653255
20,Kentucky,37.58137,-84.888466,1297,81,2500,0.7531455076935277
21,Louisiana,31.05971,-91.839554,1335,76,2536,0.7594333421258238
22,Maine,44.6072,-69.434845,387,37,757,0.6442802782914921
23,Maryland,39.13058,-76.71935,2778,259,5082,0.8256669443477292
24,Massachusetts,42.204845,-71.496826,4640,564,8185,0.8791844972049887
25,Michigan,43.92309,-85.22649,3615,403,6515,0.8518866807571973
26,Minnesota,45.81953,-93.99869,2309,223,5385,0.8396509043966366
27,Mississippi,32.81446,-89.712814,581,34,1176,0.6809306171967231
28,Missouri,38.196053,-92.25109,2662,265,4771,0.8247696218198308
29,Montana,46.91542,-110.718666,260,14,775,0.6674454942862779
30,Nebraska,41.321033,-98.7876,667,55,1722,0.7416680661823638
31,Nevada,39.09225,-116.94037,923,52,1807,0.7322756281250622
32,New Hampshire,43.409595,-71.541885,406,34,1097,0.6852826830652936
33,New Jersey,40.219467,-74.63167,4269,390,8633,0.8870272684568801
34,New Mexico,34.695763,-106.22367,588,42,1599,0.7249239571226838
35,New York,42.56897,-75.477,10990,887,19081,0.9670333633410386
36,North Carolina,35.576843,-79.53007,3735,321,6492,0.8477756696419655
37,North Dakota,47.52474,-99.81501,342,59,883,0.6798399850827106
38,Northern Mariana Islands,14.803838,145.55148,1,0,2,0.18600164360772636
39,Ohio,40.20804,-82.68456,4712,311,9129,0.8794535058472891
40,Oklahoma,35.427067,-96.773994,1357,163,2733,0.7690021508969428
41,Oregon,44.54903,-122.14273,1818,352,3490,0.804768855547926
42,Pennsylvania,40.60347,-77.41482,5407,520,10561,0.8949806197640934
43,Puerto Rico,18.250437,-66.402916,218,2,326,0.6910740464650352
44,Remote,,,21,3,38,0.4339431373548161
45,Rhode Island,41.675617,-71.503815,392,51,881,0.6747849786902453
46,South Carolina,33.985115,-80.96936,1354,85,2507,0.7539522185204928
47,South Dakota,44.289787,-99.61724,443,58,1073,0.6951250890899038
48,Tennessee,35.869774,-85.69873,2393,197,4814,0.8225985224521992
49,Texas,30.541521,-97.844345,13504,2141,23877,0.9747515216541699
50,Utah,40.30287,-111.84235,1196,108,2283,0.7616988849019412
51,Vermont,44.01336,-72.68488,139,14,436,0.6004375400974777
52,Virgin Islands,17.97962,-64.825584,4,1,6,0.276780866120404
53,Virginia,37.71112,-78.51438,4805,428,8273,0.8754101788069512
54,Washington,47.318367,-121.16399,3646,266,6256,0.8519641201726045
55,West Virginia,38.646973,-80.79809,464,25,962,0.6671268214467845
56,Wisconsin,44.22958,-89.65535,2531,332,4815,0.8228285252031045
57,Wyoming,42.800774,-107.330284,219,18,583,0.6354393907455637
