,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,31,9,75,0.5480455399880548
1,Alaska,61.27834,-150.32988,2,2,18,0.3985920169715697
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,112,26,235,0.7149934983855524
4,Arkansas,34.997967,-92.32213,18,2,50,0.5029286879971117
5,California,37.016674,-120.15913,992,314,2049,1.0
6,Colorado,39.152225,-105.41113,109,15,228,0.705728953664598
7,Connecticut,41.5664,-72.77289,45,9,134,0.6426266347265134
8,Delaware,39.267464,-75.50684,7,4,26,0.43424066022752217
9,District of Columbia,38.895,-77.03667,71,7,132,0.6746902144567519
10,Federated s of Micronesia,,,3,0,5,0.5460481770865626
11,Florida,28.63532,-82.39836,314,46,661,0.8393612808762027
12,Georgia,33.18301,-83.751396,149,26,324,0.7468238953997712
13,Guam,0,0,0,0,0,0.0
14,Hawaii,20.773073,-156.91919,7,0,17,0.3814307658234448
15,Idaho,44.72104,-114.83413,9,1,23,0.4137897802155466
16,Illinois,40.22442,-89.00813,351,137,645,0.8326588583836163
17,Indiana,39.853703,-86.26825,125,16,189,0.6718792816580079
18,Iowa,42.001587,-93.15462,31,12,53,0.5002018415810079
19,Kansas,38.453106,-97.173775,25,4,52,0.5015887206699398
20,Kentucky,37.58137,-84.888466,27,0,85,0.5656741365806002
21,Louisiana,31.05971,-91.839554,21,3,54,0.5001062487933454
22,Maine,44.6072,-69.434845,6,1,17,0.36290554539588316
23,Maryland,39.13058,-76.71935,65,26,201,0.6809943239730676
24,Massachusetts,42.204845,-71.496826,186,50,456,0.8089064655889183
25,Michigan,43.92309,-85.22649,75,18,181,0.6578949900504504
26,Minnesota,45.81953,-93.99869,99,18,190,0.6781342967722594
27,Mississippi,32.81446,-89.712814,24,1,43,0.4848003235797369
28,Missouri,38.196053,-92.25109,69,24,150,0.6418380067913843
29,Montana,46.91542,-110.718666,9,3,44,0.5399252919348538
30,Nebraska,41.321033,-98.7876,10,0,31,0.44159892704973513
31,Nevada,39.09225,-116.94037,18,9,58,0.5276570433196622
32,New Hampshire,43.409595,-71.541885,11,2,36,0.469502515236219
33,New Jersey,40.219467,-74.63167,213,47,662,0.8811962860776406
34,New Mexico,34.695763,-106.22367,19,1,41,0.48057776962110255
35,New York,42.56897,-75.477,483,80,1128,0.9362318673175821
36,North Carolina,35.576843,-79.53007,102,19,208,0.6760466524753446
37,North Dakota,47.52474,-99.81501,10,1,25,0.4311158638915614
38,Northern Mariana Islands,0,0,0,0,0,0.0
39,Ohio,40.20804,-82.68456,148,24,303,0.7218376807294564
40,Oklahoma,35.427067,-96.773994,26,6,55,0.5020290198138065
41,Oregon,44.54903,-122.14273,48,12,130,0.6427534408466361
42,Pennsylvania,40.60347,-77.41482,164,25,352,0.7418340435458449
43,Puerto Rico,18.250437,-66.402916,0,0,1,0.09762491046772559
44,Remote,,,3,0,4,0.3474336012036371
45,Rhode Island,41.675617,-71.503815,10,3,43,0.5232025223805905
46,South Carolina,33.985115,-80.96936,29,11,73,0.5421071329468296
47,South Dakota,44.289787,-99.61724,1,0,9,0.275080711810759
48,Tennessee,35.869774,-85.69873,69,18,117,0.5992247004080667
49,Texas,30.541521,-97.844345,363,55,798,0.8435095756195848
50,Utah,40.30287,-111.84235,36,11,114,0.6362722940604696
51,Vermont,44.01336,-72.68488,7,3,24,0.4454865183446022
52,Virgin Islands,0,0,0,0,0,0.0
53,Virginia,37.71112,-78.51438,116,31,265,0.7086785734545978
54,Washington,47.318367,-121.16399,240,41,421,0.8091491822432949
55,West Virginia,38.646973,-80.79809,12,3,24,0.4071803157438606
56,Wisconsin,44.22958,-89.65535,76,25,173,0.6617175904900882
57,Wyoming,42.800774,-107.330284,4,0,6,0.23015068619552936
