,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,184,42,564,0.7205239417063026
1,Alaska,61.27834,-150.32988,23,3,53,0.45192039688025726
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,231,51,1800,0.8808256308415426
4,Arkansas,34.997967,-92.32213,120,24,285,0.6398688332313477
5,California,37.016674,-120.15913,2398,664,6722,1.0
6,Colorado,39.152225,-105.41113,521,106,1265,0.8201082588577422
7,Connecticut,41.5664,-72.77289,242,84,808,0.7757291692936155
8,Delaware,39.267464,-75.50684,48,3,165,0.5938600037300547
9,District of Columbia,38.895,-77.03667,249,42,558,0.7481248469522976
10,Federated s of Micronesia,,,1,0,1,0.105240079086058
11,Florida,28.63532,-82.39836,1217,291,3998,0.9548192508714913
12,Georgia,33.18301,-83.751396,657,133,1760,0.8537505339094541
13,Guam,13.442065,144.7609,4,0,4,0.2918861346682391
14,Hawaii,20.773073,-156.91919,64,1,90,0.5193373085330888
15,Idaho,44.72104,-114.83413,106,22,211,0.6299474792527955
16,Illinois,40.22442,-89.00813,1042,189,2869,0.9005567545527672
17,Indiana,39.853703,-86.26825,423,116,1172,0.8059962424300998
18,Iowa,42.001587,-93.15462,299,145,606,0.7377112508873885
19,Kansas,38.453106,-97.173775,178,53,678,0.7615762492176688
20,Kentucky,37.58137,-84.888466,263,32,513,0.7048296234830219
21,Louisiana,31.05971,-91.839554,167,41,410,0.6765090973787248
22,Maine,44.6072,-69.434845,60,13,115,0.5356854177157998
23,Maryland,39.13058,-76.71935,734,215,1757,0.8689144252196839
24,Massachusetts,42.204845,-71.496826,963,260,2661,0.9223128437170365
25,Michigan,43.92309,-85.22649,1014,601,2558,0.9226196361291348
26,Minnesota,45.81953,-93.99869,809,431,1545,0.8553452535166584
27,Mississippi,32.81446,-89.712814,59,5,196,0.5923432335176338
28,Missouri,38.196053,-92.25109,417,106,1037,0.7950282174997355
29,Montana,46.91542,-110.718666,86,8,128,0.5679534181568028
30,Nebraska,41.321033,-98.7876,80,14,353,0.6861899957755301
31,Nevada,39.09225,-116.94037,120,36,421,0.6984197858394062
32,New Hampshire,43.409595,-71.541885,84,8,216,0.6173733114768966
33,New Jersey,40.219467,-74.63167,690,236,2232,0.8947844164143777
34,New Mexico,34.695763,-106.22367,142,10,463,0.7230323673274979
35,New York,42.56897,-75.477,1636,356,4061,0.9562584127438251
36,North Carolina,35.576843,-79.53007,878,217,1937,0.8716921440166007
37,North Dakota,47.52474,-99.81501,49,20,85,0.5027517430069369
38,Northern Mariana Islands,0,0,0,0,0,0.0
39,Ohio,40.20804,-82.68456,608,134,2187,0.8739055752190461
40,Oklahoma,35.427067,-96.773994,260,77,996,0.8104142670109418
41,Oregon,44.54903,-122.14273,400,168,731,0.765178841139171
42,Pennsylvania,40.60347,-77.41482,1100,344,2396,0.8834017842582688
43,Puerto Rico,18.250437,-66.402916,12,0,15,0.39546613017963506
44,Remote,,,12,0,87,0.745027799697235
45,Rhode Island,41.675617,-71.503815,57,11,125,0.5561995881921137
46,South Carolina,33.985115,-80.96936,270,61,845,0.7798979581005757
47,South Dakota,44.289787,-99.61724,131,9,159,0.5829168862903632
48,Tennessee,35.869774,-85.69873,217,70,1027,0.7898750175911978
49,Texas,30.541521,-97.844345,2027,415,5786,0.9863193779166638
50,Utah,40.30287,-111.84235,419,116,604,0.7502451226123396
51,Vermont,44.01336,-72.68488,60,9,86,0.5186688956975498
52,Virgin Islands,17.97962,-64.825584,0,0,2,0.2227226808347181
53,Virginia,37.71112,-78.51438,1159,224,2726,0.9194711641749918
54,Washington,47.318367,-121.16399,704,230,1686,0.860169617496833
55,West Virginia,38.646973,-80.79809,51,1,112,0.5262982804499642
56,Wisconsin,44.22958,-89.65535,329,133,906,0.7713684237462902
57,Wyoming,42.800774,-107.330284,34,21,55,0.4531810357819337
