,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,199,32,519,0.6443991675286441
1,Alaska,61.27834,-150.32988,55,2,96,0.4849874543001634
2,American Samoa,14.2412,-170.71957,1,0,1,0.2919813022940565
3,Arizona,33.67677,-111.58828,507,57,1171,0.737355251802214
4,Arkansas,34.997967,-92.32213,151,21,318,0.5959668761863022
5,California,37.016674,-120.15913,6432,1374,12350,1.0
6,Colorado,39.152225,-105.41113,775,128,1680,0.7854507030326091
7,Connecticut,41.5664,-72.77289,489,51,1006,0.7352554603521058
8,Delaware,39.267464,-75.50684,75,10,135,0.5122547659523536
9,District of Columbia,38.895,-77.03667,622,154,1081,0.7795678861762323
10,Federated s of Micronesia,,,4,1,6,0.33802290747279606
11,Florida,28.63532,-82.39836,1638,183,3891,0.8639589171309386
12,Georgia,33.18301,-83.751396,1042,169,2312,0.8147201506055973
13,Guam,0,0,0,0,0,0.0
14,Hawaii,20.773073,-156.91919,57,5,148,0.536606905783003
15,Idaho,44.72104,-114.83413,85,7,180,0.5488929205185133
16,Illinois,40.22442,-89.00813,2008,631,4285,0.8761013413049374
17,Indiana,39.853703,-86.26825,478,74,1187,0.7346259859037766
18,Iowa,42.001587,-93.15462,363,50,671,0.6839325504335252
19,Kansas,38.453106,-97.173775,333,74,684,0.6919362274638607
20,Kentucky,37.58137,-84.888466,312,20,635,0.669160336933556
21,Louisiana,31.05971,-91.839554,309,21,680,0.6820185219277005
22,Maine,44.6072,-69.434845,110,6,204,0.5599021625743542
23,Maryland,39.13058,-76.71935,843,111,1738,0.7872115231847082
24,Massachusetts,42.204845,-71.496826,1271,212,2855,0.8476164639291597
25,Michigan,43.92309,-85.22649,922,148,1913,0.7943214686795708
26,Minnesota,45.81953,-93.99869,779,165,1424,0.7645896392577648
27,Mississippi,32.81446,-89.712814,88,4,276,0.5819928477153309
28,Missouri,38.196053,-92.25109,573,84,1221,0.7451383715721471
29,Montana,46.91542,-110.718666,60,0,107,0.4909888289995206
30,Nebraska,41.321033,-98.7876,120,8,356,0.6231724891731143
31,Nevada,39.09225,-116.94037,200,19,538,0.6677228228555028
32,New Hampshire,43.409595,-71.541885,145,6,342,0.6226167471301692
33,New Jersey,40.219467,-74.63167,1009,151,2432,0.8250205424178131
34,New Mexico,34.695763,-106.22367,109,8,257,0.5755004948608617
35,New York,42.56897,-75.477,4231,724,8441,0.9812815138955985
36,North Carolina,35.576843,-79.53007,903,115,1986,0.7955580961220406
37,North Dakota,47.52474,-99.81501,85,7,182,0.5549154908525761
38,Northern Mariana Islands,14.803838,145.55148,1,0,1,0.15851250352456125
39,Ohio,40.20804,-82.68456,1009,114,2333,0.8040155917348949
40,Oklahoma,35.427067,-96.773994,359,40,771,0.6984656053319336
41,Oregon,44.54903,-122.14273,387,42,801,0.7072347268693565
42,Pennsylvania,40.60347,-77.41482,1355,236,3068,0.8383344079145042
43,Puerto Rico,18.250437,-66.402916,33,0,65,0.559742492011829
44,Remote,,,6,0,10,0.33182314362486715
45,Rhode Island,41.675617,-71.503815,115,35,302,0.6261970475874593
46,South Carolina,33.985115,-80.96936,329,28,801,0.7006036909968196
47,South Dakota,44.289787,-99.61724,133,5,174,0.5408375462978037
48,Tennessee,35.869774,-85.69873,439,52,1038,0.7197378752980826
49,Texas,30.541521,-97.844345,2656,345,5908,0.9005367225747425
50,Utah,40.30287,-111.84235,329,77,626,0.6853088839518434
51,Vermont,44.01336,-72.68488,77,8,191,0.5802038380859634
52,Virgin Islands,17.97962,-64.825584,3,0,3,0.25403746044599473
53,Virginia,37.71112,-78.51438,1216,160,2492,0.8218777977568799
54,Washington,47.318367,-121.16399,1490,212,2233,0.8222167409121574
55,West Virginia,38.646973,-80.79809,92,11,193,0.5458422911875216
56,Wisconsin,44.22958,-89.65535,631,175,1414,0.7626286809891771
57,Wyoming,42.800774,-107.330284,71,2,110,0.4985144823543445
