,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,1949,197,4402,0.8005009235989913
1,Alaska,61.27834,-150.32988,315,33,809,0.655849190607243
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,3403,328,8358,0.8675094898282599
4,Arkansas,34.997967,-92.32213,988,144,2533,0.7477085590654872
5,California,37.016674,-120.15913,19816,3083,39814,1.0
6,Colorado,39.152225,-105.41113,4000,484,8410,0.8659379382141053
7,Connecticut,41.5664,-72.77289,2126,272,4834,0.8136502250456371
8,Delaware,39.267464,-75.50684,740,49,1489,0.7156698894833284
9,District of Columbia,38.895,-77.03667,2065,362,3591,0.8073646557720693
10,Federated s of Micronesia,,,9,3,13,0.3399981422325023
11,Florida,28.63532,-82.39836,9076,1183,22180,0.9540097200964652
12,Georgia,33.18301,-83.751396,4710,554,10526,0.8786366868406342
13,Guam,13.442065,144.7609,9,1,14,0.3361767066983324
14,Hawaii,20.773073,-156.91919,549,46,1002,0.676495868406651
15,Idaho,44.72104,-114.83413,513,69,1074,0.669534663404247
16,Illinois,40.22442,-89.00813,8892,1442,17842,0.9233165386376153
17,Indiana,39.853703,-86.26825,3121,451,7261,0.8435809702439072
18,Iowa,42.001587,-93.15462,1770,252,3611,0.7820665116742493
19,Kansas,38.453106,-97.173775,1333,184,3248,0.7731546477636688
20,Kentucky,37.58137,-84.888466,1965,136,4680,0.8064154018625935
21,Louisiana,31.05971,-91.839554,1678,144,4115,0.7946673355240905
22,Maine,44.6072,-69.434845,820,136,1831,0.7339906060915394
23,Maryland,39.13058,-76.71935,4713,560,9093,0.8734449554332879
24,Massachusetts,42.204845,-71.496826,5802,1171,12345,0.903472165050568
25,Michigan,43.92309,-85.22649,4438,753,9168,0.8663509106806065
26,Minnesota,45.81953,-93.99869,4093,658,7548,0.8544405090060332
27,Mississippi,32.81446,-89.712814,959,81,2125,0.7300307453605664
28,Missouri,38.196053,-92.25109,3350,548,6936,0.8443351913349548
29,Montana,46.91542,-110.718666,542,34,1016,0.6758239971702527
30,Nebraska,41.321033,-98.7876,848,111,2089,0.7385540608430821
31,Nevada,39.09225,-116.94037,1348,98,3067,0.773776297137762
32,New Hampshire,43.409595,-71.541885,629,79,2171,0.7493707106144504
33,New Jersey,40.219467,-74.63167,4611,796,11827,0.8974029745530727
34,New Mexico,34.695763,-106.22367,1020,68,2156,0.7362993186412027
35,New York,42.56897,-75.477,12200,1638,26791,0.9793342625449378
36,North Carolina,35.576843,-79.53007,5699,660,10990,0.8871913062987443
37,North Dakota,47.52474,-99.81501,685,75,1233,0.6981955943464536
38,Northern Mariana Islands,14.803838,145.55148,2,0,3,0.21980100151106766
39,Ohio,40.20804,-82.68456,6009,617,13508,0.9005484272020989
40,Oklahoma,35.427067,-96.773994,1855,385,4626,0.8104557456778714
41,Oregon,44.54903,-122.14273,2152,323,4235,0.8000186653934034
42,Pennsylvania,40.60347,-77.41482,6650,931,15983,0.918970821830489
43,Puerto Rico,18.250437,-66.402916,126,0,181,0.5768564400222219
44,Remote,,,16,2,54,0.45653179814316797
45,Rhode Island,41.675617,-71.503815,511,95,1287,0.6973776758319973
46,South Carolina,33.985115,-80.96936,2360,191,4748,0.8092204170770709
47,South Dakota,44.289787,-99.61724,835,179,1355,0.698899218094968
48,Tennessee,35.869774,-85.69873,3057,449,7732,0.8556316780477229
49,Texas,30.541521,-97.844345,15112,2243,33833,0.9886090145668293
50,Utah,40.30287,-111.84235,2379,290,3864,0.804528015420849
51,Vermont,44.01336,-72.68488,317,32,752,0.6468828027454471
52,Virgin Islands,17.97962,-64.825584,5,0,7,0.27728678707690846
53,Virginia,37.71112,-78.51438,7108,908,13063,0.9059668754323796
54,Washington,47.318367,-121.16399,4237,441,7561,0.8464790714215975
55,West Virginia,38.646973,-80.79809,780,54,1882,0.727938387019928
56,Wisconsin,44.22958,-89.65535,3014,543,6528,0.8331937108631519
57,Wyoming,42.800774,-107.330284,502,81,769,0.6460962363075972
