,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,4347,1180,11037,0.8428984355824481
1,Alaska,61.27834,-150.32988,1626,485,3424,0.7829788894485848
2,American Samoa,14.2412,-170.71957,3,0,4,0.3047617502812671
3,Arizona,33.67677,-111.58828,6680,1465,19171,0.8963168377395444
4,Arkansas,34.997967,-92.32213,3236,1024,8048,0.824910317132836
5,California,37.016674,-120.15913,33475,7537,78446,1.0
6,Colorado,39.152225,-105.41113,6997,1022,16271,0.8728111163629623
7,Connecticut,41.5664,-72.77289,4703,895,11335,0.8479207304857841
8,Delaware,39.267464,-75.50684,1098,146,2827,0.7290517426036178
9,District of Columbia,38.895,-77.03667,2468,319,3961,0.7461411123949763
10,Federated s of Micronesia,,,1,0,5,0.2038539098267022
11,Florida,28.63532,-82.39836,19531,4165,50087,0.9753676317657844
12,Georgia,33.18301,-83.751396,10674,2560,25169,0.9108935384538828
13,Guam,13.442065,144.7609,24,9,66,0.4794328855472142
14,Hawaii,20.773073,-156.91919,825,212,1764,0.6803226733358141
15,Idaho,44.72104,-114.83413,1056,316,2907,0.7289386761870387
16,Illinois,40.22442,-89.00813,15757,4040,36234,0.9330981751878441
17,Indiana,39.853703,-86.26825,7197,1814,18072,0.8843620178710437
18,Iowa,42.001587,-93.15462,3591,1038,8453,0.8193747346632515
19,Kansas,38.453106,-97.173775,2674,812,7580,0.8097057390100264
20,Kentucky,37.58137,-84.888466,4897,841,12010,0.8526133405280768
21,Louisiana,31.05971,-91.839554,3765,785,9001,0.820760858631837
22,Maine,44.6072,-69.434845,3203,784,7696,0.8585351794530304
23,Maryland,39.13058,-76.71935,9357,1784,19995,0.8970660741718623
24,Massachusetts,42.204845,-71.496826,10726,2911,28055,0.9297822434902709
25,Michigan,43.92309,-85.22649,9545,2371,20148,0.8875577228534502
26,Minnesota,45.81953,-93.99869,7098,1652,14204,0.8588196831780761
27,Mississippi,32.81446,-89.712814,2389,627,5742,0.7853912064895269
28,Missouri,38.196053,-92.25109,9058,2535,16814,0.8812293404700452
29,Montana,46.91542,-110.718666,1352,504,3313,0.7641623957946084
30,Nebraska,41.321033,-98.7876,1576,497,4343,0.7630711185823088
31,Nevada,39.09225,-116.94037,2122,532,6485,0.7960822827955124
32,New Hampshire,43.409595,-71.541885,1482,457,5902,0.8115376570821278
33,New Jersey,40.219467,-74.63167,9894,2300,23452,0.9042684893776006
34,New Mexico,34.695763,-106.22367,2817,655,8283,0.8430430987054831
35,New York,42.56897,-75.477,18904,3890,41625,0.9497923131030759
36,North Carolina,35.576843,-79.53007,13968,2864,27050,0.9240254851433366
37,North Dakota,47.52474,-99.81501,1811,376,3790,0.7861229763026698
38,Northern Mariana Islands,14.803838,145.55148,0,0,10,0.3308372698921007
39,Ohio,40.20804,-82.68456,12671,2793,32921,0.9357953144342088
40,Oklahoma,35.427067,-96.773994,5087,1569,11237,0.8522986405672351
41,Oregon,44.54903,-122.14273,4890,1169,12354,0.862815332688596
42,Pennsylvania,40.60347,-77.41482,16486,2443,40725,0.9600769128920092
43,Puerto Rico,18.250437,-66.402916,96,5,220,0.5425194678449499
44,Remote,,,60,0,158,0.5336156913906174
45,Rhode Island,41.675617,-71.503815,1336,448,3127,0.7419539849628961
46,South Carolina,33.985115,-80.96936,6659,1079,14510,0.880512684719042
47,South Dakota,44.289787,-99.61724,2380,756,4122,0.7789533792085629
48,Tennessee,35.869774,-85.69873,8349,2121,19988,0.9016242404003151
49,Texas,30.541521,-97.844345,30127,7508,69659,0.9971672362247868
50,Utah,40.30287,-111.84235,3464,674,6151,0.7904829324902741
51,Vermont,44.01336,-72.68488,869,232,2750,0.7535341755097743
52,Virgin Islands,17.97962,-64.825584,3,0,36,0.43706851359487675
53,Virginia,37.71112,-78.51438,13360,2050,28870,0.9295065777812013
54,Washington,47.318367,-121.16399,9353,2028,18619,0.8855918882228607
55,West Virginia,38.646973,-80.79809,1846,387,5863,0.8063663890610656
56,Wisconsin,44.22958,-89.65535,6163,1448,14284,0.8576686798522625
57,Wyoming,42.800774,-107.330284,681,262,1996,0.7060831154963176
