,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,1259,254,2184,0.7025356552565591
1,Alaska,61.27834,-150.32988,106,23,176,0.4672024066205315
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,2334,398,4466,0.774812664484768
4,Arkansas,34.997967,-92.32213,316,75,729,0.5907209180441948
5,California,37.016674,-120.15913,28937,7012,43831,1.0
6,Colorado,39.152225,-105.41113,5073,752,7405,0.838980345361529
7,Connecticut,41.5664,-72.77289,1821,425,3303,0.754579059324809
8,Delaware,39.267464,-75.50684,417,116,825,0.6315979165313337
9,District of Columbia,38.895,-77.03667,3165,577,5234,0.8605020828060103
10,Federated s of Micronesia,,,33,12,51,0.5421741220637506
11,Florida,28.63532,-82.39836,5437,1340,9708,0.8340701409073781
12,Georgia,33.18301,-83.751396,4418,1091,7840,0.8289643334459458
13,Guam,13.442065,144.7609,8,1,10,0.2977525438849422
14,Hawaii,20.773073,-156.91919,258,39,415,0.5590145453872549
15,Idaho,44.72104,-114.83413,235,37,360,0.5323671691271943
16,Illinois,40.22442,-89.00813,10644,5461,19573,0.9237651159064527
17,Indiana,39.853703,-86.26825,1456,505,2671,0.7096169798690789
18,Iowa,42.001587,-93.15462,667,131,1471,0.6611981102384993
19,Kansas,38.453106,-97.173775,748,140,1417,0.6604696887073179
20,Kentucky,37.58137,-84.888466,735,140,1590,0.6642216776948572
21,Louisiana,31.05971,-91.839554,554,77,1182,0.6340563067569529
22,Maine,44.6072,-69.434845,260,62,493,0.5633902447903398
23,Maryland,39.13058,-76.71935,8206,1146,12792,0.9136425587824588
24,Massachusetts,42.204845,-71.496826,7373,1687,11762,0.8867575621675698
25,Michigan,43.92309,-85.22649,3807,651,6657,0.8138858225920188
26,Minnesota,45.81953,-93.99869,2675,645,4792,0.78422544730679
27,Mississippi,32.81446,-89.712814,258,65,518,0.5571274751374299
28,Missouri,38.196053,-92.25109,2351,551,3608,0.7500679994089711
29,Montana,46.91542,-110.718666,94,27,200,0.4759769913729941
30,Nebraska,41.321033,-98.7876,377,51,892,0.62291312389193
31,Nevada,39.09225,-116.94037,560,79,1142,0.6415047762646844
32,New Hampshire,43.409595,-71.541885,605,107,1052,0.6471177963252717
33,New Jersey,40.219467,-74.63167,4039,1053,7707,0.8295082492445286
34,New Mexico,34.695763,-106.22367,523,47,879,0.617230996763229
35,New York,42.56897,-75.477,9539,2692,16586,0.9016781826448127
36,North Carolina,35.576843,-79.53007,3730,863,6328,0.8040210945890898
37,North Dakota,47.52474,-99.81501,170,70,363,0.5374928514867762
38,Northern Mariana Islands,14.803838,145.55148,6,0,6,0.3286153926036689
39,Ohio,40.20804,-82.68456,3128,644,6089,0.787766204389769
40,Oklahoma,35.427067,-96.773994,691,121,1404,0.6528155095845944
41,Oregon,44.54903,-122.14273,1910,435,3101,0.7502810639110006
42,Pennsylvania,40.60347,-77.41482,4616,902,8575,0.8259397188167193
43,Puerto Rico,18.250437,-66.402916,39,3,82,0.4761509884562681
44,Remote,,,56,5,104,0.5427506369417955
45,Rhode Island,41.675617,-71.503815,356,137,775,0.6257247778918918
46,South Carolina,33.985115,-80.96936,948,189,1755,0.6757085869301516
47,South Dakota,44.289787,-99.61724,225,21,441,0.5531679077966347
48,Tennessee,35.869774,-85.69873,1150,231,2516,0.705107857402519
49,Texas,30.541521,-97.844345,11757,2558,19159,0.8997177443400737
50,Utah,40.30287,-111.84235,1120,253,1784,0.6933838684503613
51,Vermont,44.01336,-72.68488,169,55,302,0.5271906573235093
52,Virgin Islands,0,0,0,0,0,0.0
53,Virginia,37.71112,-78.51438,11150,1895,17346,0.9367336083906123
54,Washington,47.318367,-121.16399,11736,1249,14127,0.92569755969156
55,West Virginia,38.646973,-80.79809,256,29,485,0.5565531747570995
56,Wisconsin,44.22958,-89.65535,2268,1087,4754,0.7818174340190273
57,Wyoming,42.800774,-107.330284,62,12,157,0.4532997390951144
