,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,2893,455,11686,0.8930017290673876
1,Alaska,61.27834,-150.32988,286,59,502,0.5662667743606873
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,1434,195,7480,0.8127091071142637
4,Arkansas,34.997967,-92.32213,2084,197,8844,0.8817219979434251
5,California,37.016674,-120.15913,7034,536,25356,0.9022100648413275
6,Colorado,39.152225,-105.41113,1664,214,8839,0.8316745952908615
7,Connecticut,41.5664,-72.77289,1764,71,5900,0.8007197535195907
8,Delaware,39.267464,-75.50684,557,53,2694,0.7596931863932485
9,District of Columbia,38.895,-77.03667,153,20,547,0.5536034296448632
10,Federated s of Micronesia,,,1,1,2,0.12636713747756798
11,Florida,28.63532,-82.39836,4820,781,15683,0.8676268479422533
12,Georgia,33.18301,-83.751396,4783,672,18362,0.910153354867437
13,Guam,13.442065,144.7609,0,0,4,0.18861650162412336
14,Hawaii,20.773073,-156.91919,208,36,388,0.5328144959727913
15,Idaho,44.72104,-114.83413,522,60,3930,0.8111189393019911
16,Illinois,40.22442,-89.00813,14405,1318,43111,1.0
17,Indiana,39.853703,-86.26825,6893,645,22794,0.9613673781845342
18,Iowa,42.001587,-93.15462,3217,367,11767,0.9092939008775145
19,Kansas,38.453106,-97.173775,2193,230,8567,0.8668550968586499
20,Kentucky,37.58137,-84.888466,3385,220,10868,0.8810407058847255
21,Louisiana,31.05971,-91.839554,1997,281,9008,0.8604034645690651
22,Maine,44.6072,-69.434845,369,17,1975,0.7075144674630007
23,Maryland,39.13058,-76.71935,3593,274,9581,0.8397200287732373
24,Massachusetts,42.204845,-71.496826,3922,135,11570,0.8522731395265609
25,Michigan,43.92309,-85.22649,4229,304,15087,0.8902661416710106
26,Minnesota,45.81953,-93.99869,3486,196,12469,0.8808537734686527
27,Mississippi,32.81446,-89.712814,1412,228,7796,0.8700272655594687
28,Missouri,38.196053,-92.25109,3972,556,14390,0.9015388148588409
29,Montana,46.91542,-110.718666,349,11,1550,0.6965450542360389
30,Nebraska,41.321033,-98.7876,971,87,4595,0.8096307727853659
31,Nevada,39.09225,-116.94037,604,67,3066,0.735901755833328
32,New Hampshire,43.409595,-71.541885,500,13,3290,0.7682632360688572
33,New Jersey,40.219467,-74.63167,5488,388,17903,0.909533405671727
34,New Mexico,34.695763,-106.22367,795,121,4642,0.8019653759172592
35,New York,42.56897,-75.477,6048,235,18645,0.8880803905145614
36,North Carolina,35.576843,-79.53007,3590,598,15633,0.8922955405432695
37,North Dakota,47.52474,-99.81501,594,23,1672,0.7040773349901202
38,Northern Mariana Islands,0,0,0,0,0,0.0
39,Ohio,40.20804,-82.68456,10589,940,31794,0.9747064209058297
40,Oklahoma,35.427067,-96.773994,2218,241,9682,0.8723670324300239
41,Oregon,44.54903,-122.14273,1430,167,7318,0.8321577115098453
42,Pennsylvania,40.60347,-77.41482,9699,904,28147,0.9528084072243634
43,Puerto Rico,18.250437,-66.402916,11,2,62,0.42894582638656575
44,Remote,,,3,0,7,0.231422929067956
45,Rhode Island,41.675617,-71.503815,620,94,2704,0.7611992710409535
46,South Carolina,33.985115,-80.96936,2205,449,9061,0.8567147084020492
47,South Dakota,44.289787,-99.61724,675,48,1805,0.7010172959873002
48,Tennessee,35.869774,-85.69873,3680,448,14576,0.9000018469587138
49,Texas,30.541521,-97.844345,13771,2128,43144,0.9756647684603432
50,Utah,40.30287,-111.84235,1251,121,6460,0.8358636448062611
51,Vermont,44.01336,-72.68488,467,24,1672,0.719748845919957
52,Virgin Islands,17.97962,-64.825584,1,0,2,0.12994124707312985
53,Virginia,37.71112,-78.51438,3965,519,12845,0.862564141207169
54,Washington,47.318367,-121.16399,2201,325,10698,0.8515356017844179
55,West Virginia,38.646973,-80.79809,1194,124,4820,0.8204548185831885
56,Wisconsin,44.22958,-89.65535,6015,277,16202,0.9164702112917543
57,Wyoming,42.800774,-107.330284,450,36,3054,0.8102697840481063
