,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,1538,222,3350,0.7899255128320057
1,Alaska,61.27834,-150.32988,288,26,471,0.5891214711113184
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,1880,183,3688,0.7793393315099617
4,Arkansas,34.997967,-92.32213,640,65,1437,0.6907016821725538
5,California,37.016674,-120.15913,14648,2230,25836,0.9748606397011916
6,Colorado,39.152225,-105.41113,3097,301,5549,0.8361076891659789
7,Connecticut,41.5664,-72.77289,1623,152,3214,0.7756072470481159
8,Delaware,39.267464,-75.50684,358,53,643,0.6087582011069863
9,District of Columbia,38.895,-77.03667,967,111,1569,0.6750091665306217
10,Federated s of Micronesia,,,9,3,10,0.25958535089156376
11,Florida,28.63532,-82.39836,4593,605,9983,0.8808870003537184
12,Georgia,33.18301,-83.751396,3274,566,7123,0.8564038753313803
13,Guam,13.442065,144.7609,15,1,20,0.352891221843756
14,Hawaii,20.773073,-156.91919,290,15,530,0.5962242764226234
15,Idaho,44.72104,-114.83413,234,36,497,0.5778264417115659
16,Illinois,40.22442,-89.00813,7109,3272,15147,0.924049065979915
17,Indiana,39.853703,-86.26825,2181,407,5091,0.8248089808799131
18,Iowa,42.001587,-93.15462,1162,182,2812,0.7717613578872213
19,Kansas,38.453106,-97.173775,1072,107,2103,0.7341884131811605
20,Kentucky,37.58137,-84.888466,1218,212,2682,0.7562767236166503
21,Louisiana,31.05971,-91.839554,1785,199,3568,0.8017248088866817
22,Maine,44.6072,-69.434845,439,38,828,0.6415827364536654
23,Maryland,39.13058,-76.71935,2937,333,5348,0.8179617088855631
24,Massachusetts,42.204845,-71.496826,3527,554,6383,0.8330556881658955
25,Michigan,43.92309,-85.22649,5145,931,9574,0.8967691033292446
26,Minnesota,45.81953,-93.99869,2596,434,5817,0.8505833026429184
27,Mississippi,32.81446,-89.712814,632,108,1506,0.7027480094043661
28,Missouri,38.196053,-92.25109,1648,308,3645,0.7845033698991264
29,Montana,46.91542,-110.718666,185,25,461,0.5721002232149279
30,Nebraska,41.321033,-98.7876,618,62,1500,0.7105952334761436
31,Nevada,39.09225,-116.94037,605,67,1295,0.6756816777536113
32,New Hampshire,43.409595,-71.541885,602,56,1921,0.7568388311879977
33,New Jersey,40.219467,-74.63167,2240,358,4745,0.7965780542672639
34,New Mexico,34.695763,-106.22367,684,70,1353,0.6900012047309705
35,New York,42.56897,-75.477,5048,812,9623,0.8671387611618736
36,North Carolina,35.576843,-79.53007,3492,515,6411,0.8435190061381683
37,North Dakota,47.52474,-99.81501,693,144,1310,0.7274082123141695
38,Northern Mariana Islands,14.803838,145.55148,6,0,6,0.20752144691807956
39,Ohio,40.20804,-82.68456,4558,598,10560,0.9029126172019347
40,Oklahoma,35.427067,-96.773994,1764,251,3483,0.7984369953011878
41,Oregon,44.54903,-122.14273,1473,158,2599,0.7550431717647224
42,Pennsylvania,40.60347,-77.41482,5052,1173,10704,0.9006012742145599
43,Puerto Rico,18.250437,-66.402916,86,6,173,0.5585620203785865
44,Remote,,,41,6,64,0.4300919114750601
45,Rhode Island,41.675617,-71.503815,239,44,527,0.5837311241695166
46,South Carolina,33.985115,-80.96936,1809,234,3635,0.7986413726573336
47,South Dakota,44.289787,-99.61724,628,38,863,0.6500863235757144
48,Tennessee,35.869774,-85.69873,1975,193,4397,0.8078919246253438
49,Texas,30.541521,-97.844345,12902,1804,24520,0.9865877424895566
50,Utah,40.30287,-111.84235,976,119,1829,0.7220274253438219
51,Vermont,44.01336,-72.68488,209,12,663,0.6426971141960383
52,Virgin Islands,17.97962,-64.825584,4,0,5,0.20681390304151087
53,Virginia,37.71112,-78.51438,4330,542,7575,0.8528873516731992
54,Washington,47.318367,-121.16399,3115,370,5208,0.8200092101937893
55,West Virginia,38.646973,-80.79809,459,43,991,0.6571645688246487
56,Wisconsin,44.22958,-89.65535,3656,1272,7681,0.8909294032479781
57,Wyoming,42.800774,-107.330284,309,28,545,0.6083445519057
