,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,100,26,250,0.6727403688204221
1,Alaska,61.27834,-150.32988,23,0,36,0.4720349936405281
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,156,30,416,0.7852726036658796
4,Arkansas,34.997967,-92.32213,43,5,121,0.562121732735373
5,California,37.016674,-120.15913,912,207,2028,0.9799849694901852
6,Colorado,39.152225,-105.41113,215,33,538,0.8285052911054545
7,Connecticut,41.5664,-72.77289,70,13,195,0.6483251750610854
8,Delaware,39.267464,-75.50684,20,5,51,0.4744407977456073
9,District of Columbia,38.895,-77.03667,77,13,134,0.6327179233759368
10,Federated s of Micronesia,0,0,0,0,0,0.0
11,Florida,28.63532,-82.39836,439,61,1444,0.9507861435644371
12,Georgia,33.18301,-83.751396,319,44,827,0.8566910268883585
13,Guam,13.442065,144.7609,1,0,1,0.14768471996605964
14,Hawaii,20.773073,-156.91919,31,1,56,0.4937451717522683
15,Idaho,44.72104,-114.83413,18,3,42,0.43948604289173415
16,Illinois,40.22442,-89.00813,315,44,812,0.8519092019679664
17,Indiana,39.853703,-86.26825,145,17,379,0.7351535170540022
18,Iowa,42.001587,-93.15462,76,14,178,0.6592246395263169
19,Kansas,38.453106,-97.173775,53,8,128,0.6116488843594848
20,Kentucky,37.58137,-84.888466,63,11,152,0.6187856767120704
21,Louisiana,31.05971,-91.839554,92,19,210,0.6571851946186
22,Maine,44.6072,-69.434845,37,4,61,0.5038624100515081
23,Maryland,39.13058,-76.71935,246,29,531,0.8228430015876973
24,Massachusetts,42.204845,-71.496826,219,42,453,0.7836609411656146
25,Michigan,43.92309,-85.22649,161,40,431,0.7566342176825762
26,Minnesota,45.81953,-93.99869,129,25,337,0.7576478496877566
27,Mississippi,32.81446,-89.712814,53,17,109,0.5757546561333176
28,Missouri,38.196053,-92.25109,109,19,275,0.7082256085120642
29,Montana,46.91542,-110.718666,14,4,33,0.43807358411180125
30,Nebraska,41.321033,-98.7876,39,13,157,0.6543291178898456
31,Nevada,39.09225,-116.94037,66,11,169,0.6406284129705384
32,New Hampshire,43.409595,-71.541885,37,5,83,0.5700485696475972
33,New Jersey,40.219467,-74.63167,177,34,474,0.7770196724125871
34,New Mexico,34.695763,-106.22367,28,5,87,0.5366017379491204
35,New York,42.56897,-75.477,418,88,924,0.8659672193077432
36,North Carolina,35.576843,-79.53007,278,39,652,0.8325009691182887
37,North Dakota,47.52474,-99.81501,25,11,63,0.5572452037854506
38,Northern Mariana Islands,0,0,0,0,0,0.0
39,Ohio,40.20804,-82.68456,282,44,710,0.8482480762906641
40,Oklahoma,35.427067,-96.773994,75,16,217,0.6838327155724598
41,Oregon,44.54903,-122.14273,75,9,187,0.6584717138193714
42,Pennsylvania,40.60347,-77.41482,296,51,659,0.8246807076702922
43,Puerto Rico,18.250437,-66.402916,2,1,3,0.17595756957030662
44,Remote,,,1,0,2,0.11648012364760074
45,Rhode Island,41.675617,-71.503815,11,0,41,0.44159355123257404
46,South Carolina,33.985115,-80.96936,101,12,255,0.6961011722705266
47,South Dakota,44.289787,-99.61724,18,7,38,0.4478046129132188
48,Tennessee,35.869774,-85.69873,134,12,335,0.7297242727107467
49,Texas,30.541521,-97.844345,741,92,2086,1.0
50,Utah,40.30287,-111.84235,56,11,100,0.5650038764069054
51,Vermont,44.01336,-72.68488,10,2,39,0.45171983937427895
52,Virgin Islands,0,0,0,0,0,0.0
53,Virginia,37.71112,-78.51438,227,48,645,0.8239540478225333
54,Washington,47.318367,-121.16399,214,38,436,0.7570884590769635
55,West Virginia,38.646973,-80.79809,33,8,115,0.5703716419053511
56,Wisconsin,44.22958,-89.65535,151,43,314,0.7352940872112221
57,Wyoming,42.800774,-107.330284,16,5,45,0.5066238214831116
