,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,345,71,659,0.7186561433477604
1,Alaska,61.27834,-150.32988,135,5,205,0.6364467498016108
2,American Samoa,0,0,0,0,0,0.0
3,Arizona,33.67677,-111.58828,779,57,1161,0.7827190492094908
4,Arkansas,34.997967,-92.32213,327,24,491,0.6970947036031061
5,California,37.016674,-120.15913,5669,512,8396,1.0
6,Colorado,39.152225,-105.41113,1034,120,1545,0.8233071999394894
7,Connecticut,41.5664,-72.77289,271,54,587,0.7021063101934947
8,Delaware,39.267464,-75.50684,111,15,198,0.6016530151772319
9,District of Columbia,38.895,-77.03667,510,106,694,0.7595195612466653
10,Federated s of Micronesia,0,0,0,0,0,0.0
11,Florida,28.63532,-82.39836,976,201,1921,0.8127315566879328
12,Georgia,33.18301,-83.751396,706,223,1114,0.7577696905314544
13,Guam,13.442065,144.7609,0,0,1,0.0950491359750961
14,Hawaii,20.773073,-156.91919,49,2,116,0.538551201747507
15,Idaho,44.72104,-114.83413,867,19,1038,0.8817809658106083
16,Illinois,40.22442,-89.00813,1236,258,2156,0.82746617166701
17,Indiana,39.853703,-86.26825,431,63,841,0.7302877399528965
18,Iowa,42.001587,-93.15462,205,39,371,0.6424897099467719
19,Kansas,38.453106,-97.173775,159,34,350,0.63906585534757
20,Kentucky,37.58137,-84.888466,229,15,460,0.6652168221876685
21,Louisiana,31.05971,-91.839554,314,36,553,0.6952110477879785
22,Maine,44.6072,-69.434845,51,7,133,0.5368796908872375
23,Maryland,39.13058,-76.71935,1178,116,1822,0.8457026448323154
24,Massachusetts,42.204845,-71.496826,2276,488,3680,0.945896327384548
25,Michigan,43.92309,-85.22649,1044,231,1477,0.8053547814486007
26,Minnesota,45.81953,-93.99869,721,274,1229,0.7911076792797221
27,Mississippi,32.81446,-89.712814,192,8,308,0.6342985752376946
28,Missouri,38.196053,-92.25109,633,160,948,0.7546374022935782
29,Montana,46.91542,-110.718666,545,10,713,0.8377412348978888
30,Nebraska,41.321033,-98.7876,106,15,185,0.5705483814290422
31,Nevada,39.09225,-116.94037,256,26,370,0.6562230971820064
32,New Hampshire,43.409595,-71.541885,100,20,216,0.5968091750200047
33,New Jersey,40.219467,-74.63167,1172,334,2027,0.8495151280223598
34,New Mexico,34.695763,-106.22367,474,15,660,0.756896806872624
35,New York,42.56897,-75.477,1745,232,2569,0.8536438539717411
36,North Carolina,35.576843,-79.53007,1258,154,1955,0.8436121711957076
37,North Dakota,47.52474,-99.81501,115,44,175,0.5873440837006574
38,Northern Mariana Islands,0,0,0,0,0,0.0
39,Ohio,40.20804,-82.68456,784,116,1384,0.7774984349156571
40,Oklahoma,35.427067,-96.773994,373,88,625,0.7121386518973919
41,Oregon,44.54903,-122.14273,968,74,1258,0.8270201577030871
42,Pennsylvania,40.60347,-77.41482,1609,254,2402,0.8531269704123217
43,Puerto Rico,18.250437,-66.402916,9,0,22,0.435900512185548
44,Remote,,,2,0,12,0.3857910657322068
45,Rhode Island,41.675617,-71.503815,83,25,140,0.5540309040998065
46,South Carolina,33.985115,-80.96936,238,29,396,0.6447889346757453
47,South Dakota,44.289787,-99.61724,191,30,281,0.6485873279323767
48,Tennessee,35.869774,-85.69873,396,53,655,0.6987945356525619
49,Texas,30.541521,-97.844345,2246,530,4015,0.8969394632454059
50,Utah,40.30287,-111.84235,752,48,941,0.7977489000923838
51,Vermont,44.01336,-72.68488,22,4,54,0.4385099639896891
52,Virgin Islands,0,0,0,0,0,0.0
53,Virginia,37.71112,-78.51438,1025,247,1523,0.7991129503158394
54,Washington,47.318367,-121.16399,1371,74,1720,0.8344300070235826
55,West Virginia,38.646973,-80.79809,147,7,231,0.6061599237905289
56,Wisconsin,44.22958,-89.65535,437,70,845,0.7346601180051509
57,Wyoming,42.800774,-107.330284,296,4,371,0.7293518093821308
