,state,latitude,longitude,num3stars,num4stars,numJobs,score
0,Alabama,33.074646,-86.72501,3679,265,8426,0.7143878732963957
1,Alaska,61.27834,-150.32988,477,29,1404,0.533110081302017
2,American Samoa,14.2412,-170.71957,1,0,1,0.02736733314648267
3,Arizona,33.67677,-111.58828,6429,341,14614,0.7978322572159339
4,Arkansas,34.997967,-92.32213,2189,135,4482,0.633709136523073
5,California,37.016674,-120.15913,29376,3017,66206,0.9896732288276723
6,Colorado,39.152225,-105.41113,8187,997,16628,0.8410613054701944
7,Connecticut,41.5664,-72.77289,2670,163,6816,0.7082094623366626
8,Delaware,39.267464,-75.50684,1057,58,2557,0.6143805657567736
9,District of Columbia,38.895,-77.03667,2048,291,3745,0.6947861256288921
10,Federated s of Micronesia,,,7,5,17,0.24588985925862386
11,Florida,28.63532,-82.39836,15726,976,37686,0.9310146553610368
12,Georgia,33.18301,-83.751396,8673,586,19609,0.8489031098617243
13,Guam,13.442065,144.7609,14,0,22,0.1680138002725171
14,Hawaii,20.773073,-156.91919,1093,100,2274,0.6545621503948861
15,Idaho,44.72104,-114.83413,966,56,2019,0.5196619958902671
16,Illinois,40.22442,-89.00813,11328,1040,26788,0.8638284906397505
17,Indiana,39.853703,-86.26825,6214,513,15707,0.7928410042640481
18,Iowa,42.001587,-93.15462,3084,214,7258,0.6855691263151934
19,Kansas,38.453106,-97.173775,2813,161,6856,0.680797143479384
20,Kentucky,37.58137,-84.888466,3587,179,8984,0.7280598323541303
21,Louisiana,31.05971,-91.839554,3693,222,8619,0.7414679009866036
22,Maine,44.6072,-69.434845,930,89,2279,0.5685194736305642
23,Maryland,39.13058,-76.71935,5645,496,12689,0.8263377954291077
24,Massachusetts,42.204845,-71.496826,6798,753,15736,0.8295581668470119
25,Michigan,43.92309,-85.22649,7026,738,17170,0.829691283265423
26,Minnesota,45.81953,-93.99869,6593,570,12863,0.774796968428677
27,Mississippi,32.81446,-89.712814,1877,141,4530,0.6355104484248343
28,Missouri,38.196053,-92.25109,5494,461,12482,0.7726162454773533
29,Montana,46.91542,-110.718666,713,87,1597,0.608696072802754
30,Nebraska,41.321033,-98.7876,1890,111,4246,0.6568233783680324
31,Nevada,39.09225,-116.94037,2369,109,5791,0.6794592717916859
32,New Hampshire,43.409595,-71.541885,1051,101,3342,0.6425668687013681
33,New Jersey,40.219467,-74.63167,6947,557,17295,0.8350233469666998
34,New Mexico,34.695763,-106.22367,1572,80,4093,0.6442833005930143
35,New York,42.56897,-75.477,13497,1226,28851,0.9018320917704605
36,North Carolina,35.576843,-79.53007,8976,588,18427,0.8195517361404695
37,North Dakota,47.52474,-99.81501,1085,114,2229,0.5981558136095784
38,Northern Mariana Islands,14.803838,145.55148,5,2,6,0.10893363373423567
39,Ohio,40.20804,-82.68456,9722,954,24896,0.8585507747600288
40,Oklahoma,35.427067,-96.773994,3667,425,8833,0.736491636129198
41,Oregon,44.54903,-122.14273,2859,335,6752,0.7054864643575975
42,Pennsylvania,40.60347,-77.41482,10794,836,25634,0.8624046847856801
43,Puerto Rico,18.250437,-66.402916,127,2,290,0.47083504711675644
44,Remote,,,44,7,84,0.20204973077326624
45,Rhode Island,41.675617,-71.503815,560,67,1573,0.5503209014673829
46,South Carolina,33.985115,-80.96936,4022,220,8541,0.7186437715356521
47,South Dakota,44.289787,-99.61724,1042,139,1755,0.4967445025903147
48,Tennessee,35.869774,-85.69873,5998,328,14979,0.8113784953270965
49,Texas,30.541521,-97.844345,23968,2124,60459,0.9802554405786417
50,Utah,40.30287,-111.84235,3292,290,6057,0.7209290819930925
51,Vermont,44.01336,-72.68488,558,61,1290,0.5723374304728471
52,Virgin Islands,17.97962,-64.825584,30,0,34,0.2713726168109686
53,Virginia,37.71112,-78.51438,9446,782,19846,0.857823655997987
54,Washington,47.318367,-121.16399,6488,550,12759,0.7939679773994984
55,West Virginia,38.646973,-80.79809,1566,79,3548,0.6451083546155514
56,Wisconsin,44.22958,-89.65535,5107,632,11581,0.7797906307385457
57,Wyoming,42.800774,-107.330284,925,97,1722,0.5531195402685147
