state,population,shortname
Alabama,"4,833,722",AL
Alaska,"735,132",AK
Arizona,"6,626,624",AZ
Arkansas,"2,959,373",AR
California,"38,332,521",CA
Colorado,"5,268,367",CO
Connecticut,"3,596,080",CT
Delaware,"925,749",DE
DistrictofColumbia,"646,449",DC
Florida,"19,552,860",FL
Georgia,"9,992,167",GA
Hawaii,"1,404,054",HI
Idaho,"1,612,136",ID
Illinois,"12,882,135",IL
Indiana,"6,570,902",IN
Iowa,"3,090,416",IA
Kansas,"2,893,957",KS
Kentucky,"4,395,295",KY
Louisiana,"4,625,470",LA
Maine,"1,328,302",ME
Maryland,"5,928,814",MD
Massachusetts,"6,692,824",MA
Michigan,"9,895,622",MI
Minnesota,"5,420,380",MN
Mississippi,"2,991,207",MS
Missouri,"6,044,171",MO
Montana,"1,015,165",MT
Nebraska,"1,868,516",NE
Nevada,"2,790,136",NV
NewHampshire,"1,323,459",NH
NewJersey,"8,899,339",NJ
NewMexico,"2,085,287",NM
NewYork,"19,651,127",NY
NorthCarolina,"9,848,060",NC
NorthDakota,"723,393",ND
Ohio,"11,570,808",OH
Oklahoma,"3,850,568",OK
Oregon,"3,930,065",OR
Pennsylvania,"12,773,801",PA
PuertoRico,"3,615,086",PR
RhodeIsland,"1,051,511",RI
SouthCarolina,"4,774,839",SC
SouthDakota,"844,877",SD
Tennessee,"6,495,978",TN
Texas,"26,448,193",TX
Utah,"2,900,872",UT
Vermont,"626,630",VT
Virginia,"8,260,405",VA
Washington,"6,971,406",WA
WestVirginia,"1,854,304",WV
Wisconsin,"5,742,713",WI
Wyoming,"582,658",WY
