,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
0,IBM,OK,3.1,2.6,2.9,3.1,3.3,Consulting,NY,12149,3.1,48,3848,Service
1,Infosys,OK,3.6,2.7,2.6,3.1,3.2,IT Services,WA,9311,3.3,92,514,IT
2,Hewlett-Packard,OK,3.4,2.8,3.1,3.1,3.6,Computer Hardware & Software,FL,9305,3.3,78,3609,IT
3,Target,OK,3.3,2.7,3,2.9,2.9,"Department, Clothing, & Shoe Stores",NC,9011,3.1,62,347,Retail
4,Walmart,OK,2.8,2.5,2.8,3,2.7,General Merchandise & Superstores,MI,8787,2.8,47,1231,Retail
5,Microsoft,Satisfied,3.5,3,4,3.6,3.6,Computer Hardware & Software,WA,8616,3.7,82,1263,IT
6,Bank of America,OK,3.2,2.8,3.5,3.2,3.4,Banks & Credit Unions,FL,6970,3.3,75,2973,Finance
7,Deloitte,Satisfied,3.7,3.3,3.3,3.8,2.8,Accounting,MA,6800,3.6,90,1530,Accounting
8,Oracle,OK,3.2,2.9,3,3.1,3.7,Enterprise Software & Network Solutions,CO,6044,3.3,74,3474,IT
9,The Home Depot,OK,3.5,2.9,3.2,3.2,2.9,Home Centers & Hardware Stores,TX,5372,3.3,84,3336,IT
10,PwC,Satisfied,3.6,3.2,3.2,3.8,2.8,Accounting,CA,5322,3.6,87,1129,Accounting
11,Cisco Systems,Satisfied,3.6,3,3.6,3.2,3.8,Computer Hardware & Software,TX,5296,3.6,68,3687,IT
12,Wipro,OK,3.3,2.6,2.6,3.2,3,Accounting,CA,4617,3.1,74,1971,Accounting
13,US Air Force,Very Satisfied,4.1,3.2,4.3,4.1,3.2,Federal Agencies,VA,4345,4.1,88,1560,Government
14,Sears,OK,2.5,2.2,2.3,2.4,2.8,"Department, Clothing, & Shoe Stores",OR,4169,2.5,19,850,Retail
15,Intel Corporation,Satisfied,3.8,3.2,3.9,3.5,3.8,Computer Hardware & Software,NM,3961,3.9,86,870,IT
16,US Navy,Satisfied,3.8,3.1,4.3,4.1,2.8,Federal Agencies,VA,3882,4,82,1563,Government
17,Walgreens,OK,2.8,2.5,2.9,2.8,2.6,Drug & Health Stores,WI,3846,2.8,34,2022,Health
18,Amazon.com,OK,3.3,3,3.5,3.4,2.7,Internet,WA,3842,3.4,81,2615,IT
19,McDonald's,OK,2.9,2.7,2.4,3,3,Fast-Food & Quick-Service Restaurants,AR,3771,3,70,1099,Service
20,Enterprise Rent-A-Car,OK,3.5,3.1,2.9,3.5,2.2,Car Rental,FL,3170,3.1,83,727,Service
21,Verizon Wireless,OK,3.2,2.7,4,3.2,2.6,Telecommunications Services,NY,3146,3.3,72,1527,IT
22,Computer Sciences Corp,OK,2.6,2.2,2.7,2.6,3.2,IT Services,MD,2919,2.7,37,942,IT
23,UPS,OK,3.2,2.8,3.7,3.2,3.1,Logistics & Supply Chain,AZ,2709,3.4,77,79,Logistics
24,Google,Very Satisfied,4.4,3.9,4.3,3.9,4,Internet,NY,2700,4.4,96,1492,IT
25,GE,Satisfied,3.8,3.2,3.4,3.6,3.5,Energy,NY,2670,3.7,85,1091,Resource
26,Verizon,OK,3,2.7,3.9,3,3.1,"Cable, Internet & Telephone Providers",MA,2481,3.3,64,857,IT
27,Lockheed Martin,Satisfied,3.3,2.9,3.5,3.2,3.6,Aerospace & Defense,CO,2481,3.5,82,587,Manufacture
28,Chase,OK,3.2,2.8,3.4,3.1,3.1,Banks & Credit Unions,TX,2438,3.2,82,359,Finance
29,T-Mobile,Satisfied,3.7,3.1,4,3.2,3.4,"Cable, Internet & Telephone Providers",CA,2371,3.7,92,846,IT
30,Sprint,OK,3.1,2.7,3.5,2.8,3.3,Telecommunications Services,NY,2370,3.2,66,136,IT
31,Kohl's,OK,3.3,2.9,2.7,2.7,3.2,"Department, Clothing, & Shoe Stores",TX,2367,3.1,66,1025,Retail
32,US Marine Corps,Very Satisfied,4.4,3.2,4.2,4.1,2.9,Federal Agencies,CA,2299,4.1,72,1087,Government
33,Abercrombie & Fitch,OK,2.5,2.5,2.3,2.6,2.9,"Department, Clothing, & Shoe Stores",OH,2298,2.8,18,1268,Retail
34,J. C. Penney,OK,3.2,2.6,2.8,2.7,3.1,"Department, Clothing, & Shoe Stores",MN,2225,3,67,575,Retail
35,Staples,OK,2.9,2.6,2.7,2.8,3.1,Office Supply Stores,FL,2142,2.9,47,1145,Retail
36,UnitedHealth Group,OK,2.9,2.5,2.9,2.8,3.1,Insurance Carriers,TX,2127,2.9,62,843,Finance
37,Ericsson-Worldwide,Satisfied,3.7,3,3.3,3.3,3.6,Telecommunications Manufacturing,CA,2125,3.5,89,1099,Manufacture
38,Procter & Gamble,Satisfied,4.2,3.5,3.9,3.6,3.5,Consumer Products Manufacturing,LA,2111,4,92,524,Manufacture
39,American Express,Satisfied,3.7,3.2,3.5,3.3,3.7,Financial Transaction Processing,NY,1982,3.6,91,1449,Finance
40,PepsiCo,OK,3.3,3,3.6,3.3,2.8,Food & Beverage Manufacturing,WA,1950,3.4,74,762,Retail
41,ADP,Satisfied,3.5,3.1,3.5,3.3,3.5,Staffing & Outsourcing,NJ,1939,3.5,87,803,Service
42,Xerox,Dissatisfied,2.4,2.1,2.3,2.3,2.8,Computer Hardware & Software,IN,1911,2.4,29,1010,IT
43,Yahoo,Satisfied,3.7,2.9,3.8,3.3,3.6,Internet,CA,1839,3.6,80,558,IT
44,Honeywell,OK,3.2,2.7,2.9,3.1,3.3,Electrical & Electronic Manufacturing,AZ,1821,3.2,73,702,Manufacture
45,Goldman Sachs,Satisfied,3.7,3.3,3.7,3.7,2.6,Investment Banking & Asset Management,UT,1813,3.7,93,1191,Finance
46,Kaiser Permanente,Satisfied,3.6,3,4,3.3,3.6,Health Care Services & Hospitals,CA,1752,3.6,84,390,Health
47,Qualcomm,Satisfied,3.7,3.4,4,3.7,3.5,Computer Hardware & Software,CO,1733,3.9,94,221,IT
48,The Gap,Satisfied,3.8,3.1,3.2,3.1,3.5,"Department, Clothing, & Shoe Stores",NY,1715,3.5,82,683,Retail
49,Kroger,OK,3,2.6,2.8,2.8,2.9,Vehicle Dealers,GA,1683,2.9,63,170,Retail
50,Victoria's Secret Stores,OK,3.5,3,2.9,3,2.9,"Department, Clothing, & Shoe Stores",NY,1612,3.3,84,590,Retail
51,Capital One,OK,3.7,3.1,3.7,3.2,3.7,Lending,MD,1610,3.4,86,834,Finance
52,Whole Foods Market,Satisfied,3.9,3.1,3.6,3.5,3.3,Grocery Stores & Supermarkets,TX,1575,3.6,82,624,Retail
53,Citibank,OK,3.2,2.8,3.4,3.1,3.1,Investment Banking & Asset Management,KY,1529,3.2,78,370,Finance
54,Raytheon,OK,3.2,2.8,3.7,3.1,3.7,Aerospace & Defense,VA,1529,3.4,81,710,Manufacture
55,Motorola Mobility,Satisfied,3.4,2.9,3.6,3,3.5,Telecommunications Manufacturing,CA,1526,3.5,71,40,Manufacture
56,Forever 21,Dissatisfied,2.3,2.1,2,2.4,2.5,"Department, Clothing, & Shoe Stores",NY,1480,2.4,29,616,Retail
57,Northwestern Mutual,Satisfied,4,3.8,3.2,3.7,3.7,Brokerage Services,IL,1456,3.7,98,289,Service
58,Johnson & Johnson,Satisfied,3.8,3.1,3.8,3.4,3.7,Biotech & Pharmaceuticals,PA,1451,3.8,89,421,Health
59,Convergys,OK,2.7,2.5,2.8,2.9,2.8,Advertising & Marketing,KY,1450,2.8,61,329,Advertising
60,GameStop,OK,2.8,2.7,2.5,2.7,2.8,Toy & Hobby Stores,NJ,1416,2.8,50,682,Manufacture
